City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
farmington,1,US,1624387202,11,36.7281,-108.2187,35.06,2.57
moissala,100,TD,1624387388,67,8.3404,17.7663,25.73,1.5
omboue,100,GA,1624387389,83,-1.5746,9.2618,24.06,4.25
tromso,75,NO,1624387390,71,69.6496,18.957,10.36,1.54
albenga,0,IT,1624387392,69,44.0529,8.216,25.0,3.6
washington,0,US,1624387365,28,47.5001,-120.5015,31.63,1.97
los llanos de aridane,20,ES,1624387395,75,28.6585,-17.9182,20.86,6.17
moose factory,75,CA,1624387397,58,51.2585,-80.6094,14.0,5.66
pedernales,100,DO,1624387398,65,18.0384,-71.744,30.12,3.12
huarmey,41,PE,1624387399,70,-10.0681,-78.1522,21.69,5.25
bima,100,ID,1624387401,95,-8.4667,118.7167,23.95,1.85
tahta,0,EG,1624387402,16,26.7693,31.5021,35.0,9.26
ligaya,100,PH,1624387404,81,12.6599,120.8923,26.26,0.38
husavik,100,IS,1624387405,91,66.0449,-17.3389,12.95,8.25
hearst,100,CA,1624387406,49,49.6835,-83.6665,13.14,2.73
lebu,100,CL,1624387408,88,-37.6167,-73.65,13.42,11.29
kavaratti,100,IN,1624387409,77,10.5669,72.642,28.28,8.02
